series_id,year,raw_ring_width,fitted_growth,rwi
2TANA,1960,163,150.81940406067034,1.080762790538741
2TANA,1961,165,149.4908128545089,1.103746757739456
2TANA,1962,106,148.18207815100433,0.7153361683319163
2TANA,1963,65,146.89290318415678,0.442499253476601
2TANA,1964,176,145.6229956232921,1.2086003261139422
2TANA,1965,90,144.37206750677376,0.623389285436238
2TANA,1966,60,143.13983517670502,0.41917052598202637
2TANA,1967,107,141.92601921460746,0.7539139094587332
2TANA,1968,173,140.7303443780605,1.22930133344412
2TANA,1969,190,139.55253953828802,1.3614943922096887
2TANA,1970,150,138.3923376186777,1.083875036588411
2TANA,1971,114,137.2494755342194,0.8306042668379976
2TANA,1972,169,136.12369413184854,1.2415178788514782
2TANA,1973,119,135.0147381316808,0.8813852594665517
2TANA,1974,100,133.9223560691258,0.7467013195943452
2TANA,1975,230,132.84630023786517,1.7313240909846817
2TANA,1976,98,131.78632663368336,0.7436279810150813
2TANA,1977,92,130.74219489913767,0.7036748929523042
2TANA,1978,144,129.71366826905526,1.1101374428893005
2TANA,1979,150,128.70051351684486,1.1654965151352514
2TANA,1980,61,127.70250090161068,0.4776727125101324
2TANA,1981,246,126.71940411605695,1.9412970074788152
2TANA,1982,40,125.7510002351708,0.31808892116320964
2TANA,1983,112,124.79706966567241,0.8974569699436423
2TANA,1984,82,123.85739609622027,0.6620517028817335
2TANA,1985,42,122.93176644836113,0.3416529446653853
2TANA,1986,71,122.01997082821254,0.5818719634014526
2TANA,1987,109,121.12180247886783,0.8999205573993772
2TANA,1988,120,120.23705773351237,0.9980284137188572
2TANA,1989,150,119.36553596924045,1.2566441291618193
2TANA,1990,100,118.50703956156248,0.8438317282244793
2TANA,1991,34,117.661373839592,0.2889648394412959
2TANA,1992,136,116.82834704190257,1.164101037492392
2TANA,1993,154,116.00777027304434,1.3274972843416815
2TANA,1994,190,115.1994574607105,1.6493133230666532
2TANA,1995,139,114.40322531354386,1.21500071015519
2TANA,1996,200,113.61889327957411,1.7602706224912252
2TANA,1997,142,112.84628350527623,1.2583489290842322
2TANA,1998,89,112.08522079524084,0.7940386731501978
2TANA,1999,80,111.33553257244714,0.7185486802961418
2TANA,2000,250,110.59704883912973,2.2604581462534368
2TANA,2001,107,109.86960213823033,0.973881746339447
2TANA,2002,49,109.15302751542552,0.4489110482352431
2TANA,2003,120,108.44716248172202,1.1065296431358924
2TANA,2004,67,107.75184697661103,0.6217990863260399
2TANA,2005,136,107.06692333177322,1.2702335676404048
2TANA,2006,89,106.39223623532624,0.83652720489062
2TANA,2007,100,105.72763269660646,0.9458265303920845
2TANA,2008,120,105.07296201147716,1.1420635499634277
2TANA,2009,42,104.42807572815508,0.4021906916041764
2TANA,2010,100,103.79282761354798,0.9634577099328113
2TANA,2011,50,103.1670736200949,0.48465075382598616
2TANA,2012,177,102.55067185310243,1.7259760155793196
2TANA,2013,90,101.94348253856879,0.8828421176012881
2TANA,2014,130,101.3453679914891,1.282742394412316
3TANA,1909,317,301.3604725335234,1.0518964127411794
3TANA,1910,296,298.39557835581854,0.9919718034395203
3TANA,1911,337,295.46260750404576,1.1405842615647581
3TANA,1912,420,292.5612162564136,1.4355969850490824
3TANA,1913,50,289.691064592019,0.1725976604436059
3TANA,1914,385,286.85181615099947,1.3421563968670678
3TANA,1915,116,284.0431381951145,0.4083886720062832
3TANA,1916,408,281.26470156875104,1.4505908410276303
3TANA,1917,205,278.51618066034877,0.7360434123215198
3TANA,1918,151,275.79725336424144,0.5475036395687977
3TANA,1919,100,273.10760104290785,0.36615604845172006
3TANA,1920,263,270.4469084896308,0.9724644347712471
3TANA,1921,50,267.81486389155634,0.1866961350593521
3TANA,1922,271,265.21115879315244,1.0218272912542208
3TANA,1923,341,262.63548806005997,1.298377468021456
3TANA,1924,359,260.0875498433335,1.3803044406248877
3TANA,1925,232,257.5670455440665,0.9007363481222511
3TANA,1926,297,255.07367977839849,1.1643694490863425
3TANA,1927,197,252.60716034289769,0.7798670462570633
3TANA,1928,328,250.1671981803173,1.311123130393705
3TANA,1929,502,247.7535073457202,2.0262074405247437
3TANA,1930,305,245.3658049729683,1.243041996147758
3TANA,1931,371,243.0038112415728,1.5267250258523095
3TANA,1932,270,240.66724934390146,1.1218809403276284
3TANA,1933,310,238.35584545273872,1.3005764528710368
3TANA,1934,100,236.06932868919534,0.42360437315284705
3TANA,1935,261,233.80743109096343,1.116303270525466
3TANA,1936,217,231.5698875809133,0.9370821148936197
3TANA,1937,277,229.3564359360285,1.2077271730768442
3TANA,1938,322,227.16681675667522,1.4174605455025735
3TANA,1939,193,225.00077343620265,0.8577748291817484
3TANA,1940,302,222.85805213087065,1.355122676126839
3TANA,1941,314,220.73840173010117,1.4224982945374889
3TANA,1942,218,218.64157382705014,0.9970656366224402
3TANA,1943,339,216.56732268949582,1.5653331065372336
3TANA,1944,221,214.5154052310412,1.0302290400168448
3TANA,1945,227,212.4855809826258,1.0683077832870034
3TANA,1946,280,210.47761206434475,1.3303077569808313
3TANA,1947,189,208.491263157571,0.9065128060409892
3TANA,1948,195,206.5263014773778,0.9441896678780143
3TANA,1949,140,204.58249674525808,0.68432051728416
3TANA,1950,140,202.6596211621375,0.6908134891261501
3TANA,1951,122,200.75744938167827,0.607698495750734
3TANA,1952,123,198.87575848387016,0.6184765852695714
3TANA,1953,225,197.01432794890604,1.1420489176723827
3TANA,1954,173,195.17293963133858,0.8863933715748661
3TANA,1955,292,193.35137773451535,1.5102038755624279
3TANA,1956,238,191.54942878528917,1.2424991372163163
3TANA,1957,138,189.76688160900034,0.7272080292932152
3TANA,1958,70,188.003527304729,0.37233343971541133
3TANA,1959,246,186.25915922081336,1.3207404190435696
3TANA,1960,96,184.53357293063158,0.5202305384077052
3TANA,1961,339,182.8265662086448,1.8542163047197824
3TANA,1962,178,181.1379390066976,0.9826765225225315
3TANA,1963,132,179.467493430574,0.7355092416837229
3TANA,1964,176,177.8150337168058,0.9897925744586001
3TANA,1965,123,176.18036620973055,0.6981481685284784
3TANA,1966,116,174.56329933879653,0.6645153960734008
3TANA,1967,200,172.96364359611226,1.156312366239349
3TANA,1968,175,171.38121151423752,1.021115432980014
3TANA,1969,125,169.81581764421367,0.7360916181665205
3TANA,1970,64,168.2672785338304,0.3803472698771479
3TANA,1971,117,166.73541270612654,0.7017105610684763
3TANA,1972,128,165.22004063812238,0.7747244190573432
3TANA,1973,75,163.72098473978093,0.4580964383961251
3TANA,1974,97,162.23806933319574,0.5978867993108736
3TANA,1975,360,160.7711206320026,2.2392081275841993
3TANA,1976,237,159.31996672101351,1.4875724924987752
3TANA,1977,207,157.88443753606913,1.3110855207164436
3TANA,1978,100,156.46436484410881,0.639123164559762
3TANA,1979,122,155.0595822234548,0.7867943293190809
3TANA,1980,177,153.669925044309,1.1518193943867938
3TANA,1981,113,152.29523044945964,0.7419799009234235
3TANA,1982,72,150.93533733519547,0.4770254684633806
3TANA,1983,100,149.5900863324259,0.6684934974753304
3TANA,1984,73,148.25931978800392,0.4923805134434904
3TANA,1985,100,146.94288174625046,0.6805365378139638
3TANA,1986,125,145.64061793067762,0.8582770505649585
